no,ranking,bookname,authors,publisher,publication_year,isbn13,class_nm,loan_count,page_price
24,24,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9791191056556,문학 > 영미문학 > 소설,240,"15,800원"
25,25,심판 ,베르나르 베르베르 지음 ;전미연 옮김,열린책들,2020,9788932920405,문학 > 프랑스문학 > 희곡,238,"14,800원"
26,26,파과 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스 미디어그룹,2018,9791162203620,문학 > 한국문학 > 소설,233,"14,000원"
27,27,다정한 것이 살아남는다 ,"지은이: 브라이언 헤어,옮긴이: 이민아",디플롯,2021,9791197413025,철학 > 심리학 > 차이심리학,229,"22,000원"
28,28,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,9791161571379,문학 > 한국문학 > 소설,228,"14,000원"
29,29,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ,자청 지음,웅진씽크빅,2022,9788901260716,사회과학 > 경제학 > 경영관리,225,"17,500원"
30,30,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ,팀 페리스 지음 ;정지현 옮김,Tornado(토네이도),2017,9791158510619,사회과학 > 경제학 > 경영관리,219,"18,000원"
31,30,세상의 마지막 기차역 ,무라세 다케시 지음 ;김지연 옮김,바이포엠 스튜디오,2022,9791191043754,문학 > 일본문학 > 소설,219,"14,000원"
32,32,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,문학 > 한국문학 > 소설,216,"15,000원"
33,33,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,9791191114225,문학 > 한국문학 > 소설,214,"14,000원"
34,34,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,9788934972464,"역사 > 역사 > 세계사, 세계문화사",213,"26,800원"
35,35,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,9791162540640,철학 > 심리학 > 각론,212,"16,000원"
36,36,피프티 피플 :정세랑 장편소설 ,지은이: 정세랑,창비,2016,9788936434243,문학 > 한국문학 > 소설,211,"14,000원"
37,37,프로젝트 헤일메리 ,앤디 위어 지음 ;강동혁 옮김,RHK(알에이치코리아),2021,9788925588735,문학 > 영미문학 > 소설,208,"18,500원"
38,37,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,9788956609959,문학 > 한국문학 > 소설,208,"13,000원"
39,39,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,9788954641630,문학 > 한국문학 > 소설,206,"14,500원"
40,40,원씽 :복잡한 세상을 이기는 단순함의 힘 ,"게리 켈러,구세희 옮김",비즈니스북스,2013,9788997575169,사회과학 > 경제학 > 경영관리,203,"14,000원"
41,41,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,문학 > 한국문학 > 소설,200,"12,000원"
